ID , Priorité   , Question                                                                                                             , Thème                                , Réponse1                                                                                     , Valide?, Réponse2                                                                         , Valide?, Réponse3                                                                                                                 , Valide?, Réponse4                                                                                                         , Valide?, Réponse5, Valide?, Réponse6, Valide?, Réponse7, Valide?, Réponse8, Valide?, Réponse9, Valide?, Réponse10, Valide?, Réponse11, Valide?
  0, Obligatoire, Pensez vous que Manitou soit concerné par l’obligation d’assurer un suivi en santé au travail de ses salariés ?      , Questions générales                  , Oui                                                                                          , Oui    , Non                                                                              , Non    , "Oui, uniquement si le salarié a des soucis de santé."                                                                   , Non    ,                                                                                                                  ,        ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
  1,            , "Selon vous, quelles sont les principales missions du Pôle Santé ? (plusieurs réponses possibles)"                   , Questions générales                  , Prévention des risques professionnels                                                        , Oui    , Surveillance de l'état de santé des salariés                                     , Oui    , Conseiller les actions de maintien dans l'emploi                                                                         , Oui    , Remplacer le médecin généraliste : faire les ordonnances et certificats de sport                                 , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
  2,            , Quels professionnels composent l'équipe du Pôle Santé ? (plusieurs réponses possibles)                               , Questions générales                  , "Médecin du travail, infirmiers en santé au travail, assistante médicale en santé au travail", Oui    , "Psychologue du travail, assistante sociale"                                     , Oui    , "Ergonome, HSE"                                                                                                          , Non    , "RH, chef d'équipe"                                                                                              , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
  3,            , Quel est le rôle du médecin du travail ?                                                                             , Questions générales                  , Soigner les maladies professionnelles                                                        , Non    , Evaluer l'aptitude au poste de travail                                           , Oui    , "Prescrire des arrêts de travail, réaliser les certificats de sport"                                                     , Non    , Rechercher les postes de reclassement pour les salariés inaptes                                                  , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
  4,            , En quoi le Pôle Santé intervient dans le maintien dans l'emploi ?                                                    , Questions générales                  , Le Pôle Santé propose des aménagements du poste de travail ou des restrictions               , Oui    , Le Pôle Santé accompagne à la réalisation des dossiers RQTH                      , Oui    , Le Pôle Santé n'agit que pour les personnes en situation de handicap                                                     , Non    , Le Pöle Santé collabore avec des organismes externes                                                             , Oui    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
  5,            , Quel est le principal responsable de l'organisation et du suivi en santé au travail des salariés                     , Visites médicales                    , Le salarié                                                                                   , Non    , Le médecin du travail / employeur                                                , Non    , Le service des ressources humaines                                                                                       , Oui    , L'assisante médicale en santé au travail                                                                         , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
  6,            , "Quelles sont, selon vous, les principales utilités des visites en santé au travail ? (plusieurs réponses possibles)", Visites médicales                    , Vérifier l'aptitude au poste de travail et détecter les problèmes de santé liés au travail   , Oui    , Evaluer l'exposition aux risques professionnels et conseiller sur leur prévention, Oui    , Pour déterminer si le salarié est en bonne forme physique                                                                , Non    , Trouver un poste de travail adapté                                                                               , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
  7,            , Je suis apte à mon poste de travail donc                                                                             , Visites médicales                    , Je n'ai aucune maladie                                                                       , Non    , Mon état de santé est compatible avec les exigences du poste                     , Oui    , Je suis motivée à venir travailler                                                                                       , Non    , Je suis capable de réaliser le trajet domicile - travail                                                         , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
  8,            , Quels types de visite en santé au travail sont obligatoires pour les salariés ?                                      , Visites médicales                    , Une visite d'embauche                                                                        , Oui    , Une visite annuelle avec un médecin généraliste                                  , Non    , Une visite périodique                                                                                                    , Oui    , Aucune visite médicale n'est obligatoire                                                                         , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
  9,            , A quelle fréquence pensez-vous que les visites obligatoires en santé au travail doivent être réalisées ?             , Visites médicales                    , A la demande de l'employeur                                                                  , Non    , Uniquement en cas de besoin                                                      , Non    , La périodicité des visites dépend des risques professionnels auxquels le salarié est exposé et de son état de santé      , Oui    , Il n'y a pas de visite obligatoire en santé au travail                                                           , Non    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
 10,            , Qui peut demander un rendez-vous avec le Pôle Santé pendant un arrêt de travail ?                                    , Visites médicales                    , Le salarié                                                                                   , Oui    , Le service RH / responsable de service                                           , Non    , Le médecin traitant / le médecin conseil de la CPAM                                                                      , Oui    , Le médecin du travail                                                                                            , Oui    ,         ,        ,         ,        ,         ,        ,         ,        ,         ,        ,          ,        ,          , 
